PitchType,Batter,HomePlate_X,HomePlate_Y,Zone,hit_location,bb_type,balls,strikes,spray_angle,adjusted_spray_angle,x_loc,y_loc,launch_speed,launch_angle,play,swing,babip_value,woba_value,woba_denom
Four-Seam Fastball,Left,-1.2,1.5,2,,,3,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.5,11,,,2,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.5,12,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.6000000000000001,1.5,12,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.7,1.3999999999999999,3,6,Popup,1,2,-21.600000000000001,21.600000000000001,-72.5,187.30000000000001,66,27,1,1,0,0,1
Four-Seam Fastball,Left,-1.6000000000000001,1.2,11,,,0,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.2,11,,,0,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.5,3,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.5,4,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.5,1.3999999999999999,5,3,Popup,0,0,63.100000000000001,63.100000000000001,118.7,61.600000000000001,80,69,1,1,0,0,1
Slider,Left,0,0.59999999999999998,6,3,Ground Ball,1,0,44,-44,80.799999999999997,84.5,90,3,1,1,0,0,1
Curve,Left,0.59999999999999998,-0.69999999999999996,5,,,0,0,,,,,,,0,0,,,
Changeup,Left,-1.8999999999999999,0.59999999999999998,14,,,3,0,,,,,,,0,0,0,0.69999999999999996,1
Changeup,Left,-1.8,0.69999999999999996,14,,,2,0,,,,,,,0,0,,,
Changeup,Left,-1.8,0.80000000000000004,14,,,1,0,,,,,,,0,0,,,
Curve,Left,0.5,-0.80000000000000004,8,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.5,1.2,5,9,Line Drive,2,1,17,17,113.7,370.10000000000002,107,18,1,1,1,1.25,1
Four-Seam Fastball,Right,-1.2,1.3999999999999999,12,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3,1.2,12,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3999999999999999,1.1000000000000001,6,,,0,0,,,,,,,0,1,,,
Changeup,Left,-1.8,0.80000000000000004,4,10,Line Drive,1,2,-35.5,35.5,-225.80000000000001,319.30000000000001,98,26,1,1,0,2,1
Slider,Right,0,1.2,9,4,Popup,1,1,17.399999999999999,17.399999999999999,52.5,165.69999999999999,74,51,1,1,0,0,1
Curve,Right,0.69999999999999996,-0.90000000000000002,11,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.7,9,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3,1.5,1,8,Fly Ball,0,0,-0.10000000000000001,-0.10000000000000001,0.5,269.80000000000001,79,49,1,1,0,0,1
Four-Seam Fastball,Left,-1.2,1.3,6,9,Line Drive,1,1,40.299999999999997,-40.299999999999997,205.69999999999999,243.19999999999999,111,15,1,1,1,1.25,1
Four-Seam Fastball,Left,-1.3,1.3999999999999999,13,2,,2,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Left,-1.2,1.5,9,,,2,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,1.2,14,,,2,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.7,11,,,1,2,,,,,,,0,0,,,
Curve,Left,0.5,-0.59999999999999998,14,,,1,2,,,,,,,0,1,,,
Curve,Left,0.40000000000000002,-0.5,14,,,1,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.7,2,,,1,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,1.6000000000000001,13,,,1,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,1.3999999999999999,7,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8999999999999999,14,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.6000000000000001,2,8,Fly Ball,1,2,6.2000000000000002,-6.2000000000000002,40.200000000000003,365,100,38,1,1,0,0,1
Four-Seam Fastball,Left,-1.2,1.8,14,,,0,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.7,3,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.7,13,,,0,0,,,,,,,0,1,,,
Changeup,Left,-1.5,0.80000000000000004,7,8,Line Drive,1,2,1.3999999999999999,-1.3999999999999999,8.5,302.80000000000001,97,13,1,1,1,0.90000000000000002,1
Slider,Left,-0.10000000000000001,0.90000000000000002,12,,,1,2,,,,,,,0,1,,,
Curve,Left,0.5,-0.40000000000000002,14,,,1,2,,,,,,,0,1,,,
Curve,Left,0.59999999999999998,-0.59999999999999998,9,,,1,1,,,,,,,0,1,,,
Changeup,Left,-1.6000000000000001,1,9,,,1,0,,,,,,,0,0,,,
Curve,Left,0.5,-0.5,14,,,0,0,,,,,,,0,0,,,
Slider,Left,0.20000000000000001,0.90000000000000002,14,2,,1,2,,,,,,,0,1,0,0,1
Curve,Left,0.5,-0.40000000000000002,5,,,1,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.6000000000000001,7,,,1,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,1.3,12,,,0,2,,,,,,,0,0,,,
Curve,Left,0.29999999999999999,-0.40000000000000002,1,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1,1.6000000000000001,5,,,0,0,,,,,,,0,0,,,
Slider,Left,-0.20000000000000001,1.1000000000000001,6,3,Popup,3,2,53.5,-53.5,33.899999999999999,26.100000000000001,80,69,1,1,0,0,1
Four-Seam Fastball,Left,-1.2,1.3,11,,,3,1,,,,,,,0,0,,,
Slider,Left,-0.20000000000000001,1.1000000000000001,14,,,2,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8,11,,,1,1,,,,,,,0,0,,,
Changeup,Left,-1.5,0.80000000000000004,8,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.3999999999999999,11,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.5,11,2,,3,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Right,-1.2,1.6000000000000001,1,,,3,2,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.3999999999999999,1,,,3,2,,,,,,,0,1,,,
Changeup,Right,-1.7,1.1000000000000001,14,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.5,2,,,2,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-0.90000000000000002,1.6000000000000001,2,,,2,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.5,12,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1,1.5,12,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.6000000000000001,5,9,Fly Ball,0,1,34.700000000000003,34.700000000000003,151.69999999999999,219.09999999999999,89,49,1,1,0,0,1
Slider,Right,-0.20000000000000001,1.2,14,,,0,0,,,,,,,0,1,,,
Changeup,Left,-1.6000000000000001,0.80000000000000004,9,1,Ground Ball,1,0,37.600000000000001,-37.600000000000001,27.5,36.299999999999997,82,-21,1,1,0,0,1
Four-Seam Fastball,Left,-1.1000000000000001,1.5,11,,,0,0,,,,,,,0,0,,,
Curve,Left,0.5,-0.40000000000000002,8,10,Line Drive,0,0,33.5,-33.5,220.09999999999999,333.30000000000001,98,27,1,1,0,2,1
Slider,Left,-0.29999999999999999,0.90000000000000002,5,8,Line Drive,0,0,-0.5,0.5,-1.6000000000000001,302.80000000000001,97,20,1,1,0,0,1
Four-Seam Fastball,Left,-1.3,1.7,13,,,3,2,,,,,,,0,0,0,0.69999999999999996,1
Four-Seam Fastball,Left,-1,1.7,13,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.8,14,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.8999999999999999,14,,,0,2,,,,,,,0,0,,,
Slider,Left,-0.10000000000000001,1.2,5,,,0,1,,,,,,,0,1,,,
Curve,Left,0.69999999999999996,-0.80000000000000004,11,,,0,0,,,,,,,0,0,,,
Curve,Left,0.5,-0.59999999999999998,8,2,,2,2,,,,,,,0,0,0,0,1
Slider,Left,-0.10000000000000001,1.3,9,,,2,2,,,,,,,0,1,,,
Changeup,Left,-1.6000000000000001,0.69999999999999996,14,,,1,2,,,,,,,0,0,,,
Changeup,Left,-1.5,0.10000000000000001,11,,,0,2,,,,,,,0,0,,,
Changeup,Left,-1.7,0.59999999999999998,13,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.3,4,,,0,0,,,,,,,0,0,,,
Slider,Left,0,1.2,14,2,,1,2,,,,,,,0,1,0,0,1
Slider,Left,-0.10000000000000001,1,5,,,1,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,1.2,11,,,1,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.3999999999999999,13,,,0,0,,,,,,,0,0,,,
Slider,Left,0,0.80000000000000004,12,2,,1,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Left,-1.1000000000000001,1.5,12,,,0,2,,,,,,,0,0,,,
Curve,Left,0.59999999999999998,-0.40000000000000002,8,,,0,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.5,5,,,0,2,,,,,,,0,1,,,
Slider,Left,0.10000000000000001,1.2,14,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.3999999999999999,11,,,0,0,,,,,,,0,0,,,
Slider,Right,0.10000000000000001,0.69999999999999996,11,2,,2,2,,,,,,,0,0,0,0,1
Curve,Right,0.59999999999999998,-0.59999999999999998,14,,,1,2,,,,,,,0,0,,,
Slider,Right,0,1.2,6,,,1,1,,,,,,,0,1,,,
Slider,Right,-0.10000000000000001,0.90000000000000002,14,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.8,2,,,0,0,,,,,,,0,0,,,
Curve,Right,0.29999999999999999,-0.5,5,9,Line Drive,1,2,28.899999999999999,28.899999999999999,126.40000000000001,229.19999999999999,88,25,1,1,0,0,1
Four-Seam Fastball,Right,-1.3,1.7,3,,,1,1,,,,,,,0,0,,,
Slider,Right,-0.10000000000000001,0.69999999999999996,11,,,0,1,,,,,,,0,0,,,
Curve,Right,0.29999999999999999,-0.80000000000000004,14,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8999999999999999,3,2,,2,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Left,-1.2,1.8,6,,,2,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-0.90000000000000002,1.7,6,,,2,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.5,12,,,1,2,,,,,,,0,0,,,
Curve,Left,0.5,-0.69999999999999996,4,,,0,2,,,,,,,0,0,,,
Curve,Left,0.5,-0.29999999999999999,2,,,0,1,,,,,,,0,0,,,
Curve,Left,0.5,-0.69999999999999996,2,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8,5,2,,2,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Left,-1,1.7,12,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.6000000000000001,6,,,1,2,,,,,,,0,1,,,
Curve,Left,0.59999999999999998,-0.69999999999999996,7,,,1,2,,,,,,,0,1,,,
Curve,Left,0.69999999999999996,-0.69999999999999996,7,,,1,1,,,,,,,0,0,,,
Curve,Left,0.69999999999999996,-0.59999999999999998,11,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.5,3,,,0,0,,,,,,,0,1,,,
Changeup,Left,-1.3999999999999999,0.69999999999999996,4,9,Ground Ball,1,0,32.100000000000001,-32.100000000000001,130.09999999999999,207.59999999999999,99,1,1,1,1,0.90000000000000002,1
Changeup,Left,-1.3999999999999999,0.80000000000000004,14,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.6000000000000001,3,9,Line Drive,0,2,29.600000000000001,-29.600000000000001,128.90000000000001,226.69999999999999,104,17,1,1,1,0.90000000000000002,1
Four-Seam Fastball,Left,-1.2,1.6000000000000001,5,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8,11,,,0,0,,,,,,,0,1,,,
Curve,Left,0.40000000000000002,-0.59999999999999998,5,1,Ground Ball,0,1,53.5,-53.5,33.899999999999999,26.100000000000001,82,-21,1,1,0,0,1
Four-Seam Fastball,Left,-1.1000000000000001,1.7,4,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.3999999999999999,8,8,Fly Ball,1,0,-9.5,9.5,-45.899999999999999,282.5,96,59,1,1,0,0,1
Four-Seam Fastball,Left,-1.3999999999999999,1.8999999999999999,14,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.7,11,,,1,2,,,,,,,0,0,,,
Curve,Left,0.20000000000000001,-0.29999999999999999,8,,,1,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.2,12,,,1,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-0.90000000000000002,1.3999999999999999,11,,,0,2,,,,,,,0,0,,,
Curve,Left,0.5,-0.40000000000000002,5,,,0,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,1.3999999999999999,1,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-0.90000000000000002,2.2000000000000002,5,,,0,0,,,,,,,0,1,,,
Slider,Left,-0.40000000000000002,0.59999999999999998,8,3,Ground Ball,0,2,44.700000000000003,-44.700000000000003,59.899999999999999,61.299999999999997,95,-2,1,1,0,0,1
Curve,Left,0.20000000000000001,-0.40000000000000002,11,,,0,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1,1.6000000000000001,2,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8,3,,,0,0,,,,,,,0,1,,,
Slider,Right,0,0.69999999999999996,3,8,Line Drive,2,2,9.0999999999999996,9.0999999999999996,40.299999999999997,247.19999999999999,95,10,1,1,1,0.90000000000000002,1
Four-Seam Fastball,Right,-1.1000000000000001,1.5,11,,,2,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.1000000000000001,2,14,,,1,1,,,,,,,0,0,,,
Slider,Right,-0.10000000000000001,1,14,,,1,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1,1.3999999999999999,11,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,2.1000000000000001,1,2,,2,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Left,-1.2,2,5,,,2,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8999999999999999,5,,,2,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.8999999999999999,11,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.8999999999999999,9,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1,1.7,13,1,Ground Ball,0,0,19.300000000000001,19.300000000000001,16.100000000000001,44.700000000000003,103,-9,1,1,0,0,1
Four-Seam Fastball,Left,-1.3,1.3999999999999999,2,7,Fly Ball,3,0,-35,35,-180.40000000000001,260.80000000000001,90,33,1,1,0,0,1
Changeup,Left,-1.3,0.90000000000000002,11,,,2,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.3,11,,,1,0,,,,,,,0,0,,,
Slider,Left,0.10000000000000001,0.69999999999999996,11,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1,1.5,11,,,3,2,,,,,,,0,0,0,0.69999999999999996,1
Four-Seam Fastball,Left,-0.90000000000000002,1.8,1,,,3,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1,1.8999999999999999,11,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1,1.6000000000000001,11,,,2,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.5,1,,,2,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.6000000000000001,11,,,1,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-0.90000000000000002,1.5,11,,,0,0,,,,,,,0,0,,,
Slider,Right,-0.10000000000000001,1.1000000000000001,14,2,,1,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Right,-0.90000000000000002,1.8999999999999999,13,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3,2.2000000000000002,14,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.8,2,,,0,0,,,,,,,0,0,,,
Curve,Right,0.40000000000000002,-0.59999999999999998,14,2,,0,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Right,-1.1000000000000001,1.3999999999999999,6,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3999999999999999,1.3999999999999999,6,,,0,0,,,,,,,0,1,,,
Curve,Left,0.29999999999999999,-0.69999999999999996,6,6,Ground Ball,2,2,-23.199999999999999,23.199999999999999,-48.5,117.5,72,7,1,1,0,0,1
Curve,Left,0.5,-0.20000000000000001,14,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.6000000000000001,12,,,1,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.3,12,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.5,3,,,0,0,,,,,,,0,1,,,
Curve,Right,0.20000000000000001,-0.29999999999999999,14,8,Line Drive,1,2,6.4000000000000004,6.4000000000000004,30.100000000000001,262.19999999999999,75,18,1,1,1,0.90000000000000002,1
Four-Seam Fastball,Right,-1.2,1.5,5,,,1,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.2,1.6000000000000001,13,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1,1.7,9,,,0,0,,,,,,,0,0,,,
Slider,Right,-0.20000000000000001,1.1000000000000001,9,6,Ground Ball,0,1,-27.199999999999999,-27.199999999999999,-61.100000000000001,122.59999999999999,73,-5,1,1,1,0.90000000000000002,1
Curve,Right,0.5,-0.69999999999999996,2,,,0,0,,,,,,,0,0,,,
Slider,Left,0.10000000000000001,1.2,5,8,Fly Ball,1,1,-0.5,0.5,-1.6000000000000001,278.69999999999999,95,52,1,1,0,0,1
Slider,Left,-0.20000000000000001,0.90000000000000002,5,,,1,0,,,,,,,0,1,,,
Slider,Left,-0.10000000000000001,1.2,3,,,0,0,,,,,,,0,0,,,
Curve,Right,0.69999999999999996,-0.59999999999999998,8,7,Line Drive,0,1,-23.699999999999999,-23.699999999999999,-109.3,253.30000000000001,101,9,1,1,1,0.90000000000000002,1
Four-Seam Fastball,Right,-1.5,1.8,8,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.7,3,2,,1,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Right,-1,1.6000000000000001,2,,,1,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.3,1.7,9,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3,1.5,6,,,0,0,,,,,,,0,0,,,
Curve,Left,0.5,-0.40000000000000002,8,7,Fly Ball,0,0,-26.800000000000001,26.800000000000001,-153.59999999999999,307.89999999999998,87,32,1,1,0,0,1
Slider,Right,-0.20000000000000001,1.2,14,4,Ground Ball,0,0,24.699999999999999,24.699999999999999,40.200000000000003,87,82,-21,1,1,0,0,1
Slider,Right,0,1.3999999999999999,5,7,Fly Ball,1,1,-30.300000000000001,-30.300000000000001,-185.30000000000001,320.60000000000002,90,34,1,1,0,0,1
Slider,Right,-0.10000000000000001,1.1000000000000001,14,,,0,1,,,,,,,0,0,,,
Slider,Right,-0.29999999999999999,1.1000000000000001,6,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.2,1.8,5,9,Line Drive,1,1,32.100000000000001,-32.100000000000001,161.80000000000001,258.39999999999998,106,16,1,1,0,0,1
Four-Seam Fastball,Left,-1.1000000000000001,1.7,11,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.5,12,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1,1.2,11,2,,0,2,,,,,,,0,1,0,0,1
Curve,Right,0.69999999999999996,-0.90000000000000002,9,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1,1.6000000000000001,6,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.2,1.5,12,,,3,2,,,,,,,0,0,0,0.69999999999999996,1
Four-Seam Fastball,Right,-1.1000000000000001,1.3999999999999999,11,,,3,2,,,,,,,0,1,,,
Curve,Right,0.90000000000000002,-0.80000000000000004,11,,,2,2,,,,,,,0,0,,,
Changeup,Right,-1.7,0.5,14,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3,1.7,13,,,1,1,,,,,,,0,0,,,
Curve,Right,0.40000000000000002,-0.40000000000000002,14,,,0,1,,,,,,,0,0,,,
Curve,Right,0.5,-0.59999999999999998,9,,,0,0,,,,,,,0,1,,,
Changeup,Left,-1.6000000000000001,0.90000000000000002,13,3,Ground Ball,1,2,42.600000000000001,-42.600000000000001,93.400000000000006,102.3,82,-21,1,1,0,0,1
Curve,Left,0.29999999999999999,-0.59999999999999998,14,,,0,2,,,,,,,0,0,,,
Curve,Left,0.5,-0.5,2,,,0,1,,,,,,,0,1,,,
Curve,Left,0.40000000000000002,-1,5,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.7,11,2,,3,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Right,-1.3,1.6000000000000001,11,,,2,2,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.8,4,,,2,1,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.6000000000000001,12,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.5,1.6000000000000001,5,,,1,0,,,,,,,0,1,,,
Curve,Right,0.29999999999999999,-0.40000000000000002,14,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.5,1.6000000000000001,6,2,,0,2,,,,,,,0,1,0,0,1
Four-Seam Fastball,Right,-1.2,1.7,3,,,0,1,,,,,,,0,0,,,
Slider,Right,-0.10000000000000001,1.2,14,,,0,0,,,,,,,0,1,,,
Curve,Left,0.59999999999999998,-0.59999999999999998,6,3,Line Drive,1,2,34.299999999999997,-34.299999999999997,75.700000000000003,111.2,74,14,1,1,0,0,1
Four-Seam Fastball,Left,-1.3999999999999999,1.5,11,,,0,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.7,2,,,0,2,,,,,,,0,1,,,
Curve,Left,0.80000000000000004,-0.90000000000000002,5,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.7,2,,,0,0,,,,,,,0,1,,,
Slider,Right,-0.20000000000000001,1.2,12,9,Fly Ball,1,0,33.600000000000001,33.600000000000001,170.69999999999999,257.19999999999999,90,43,1,1,0,0,1
Slider,Right,-0.10000000000000001,1,14,,,0,0,,,,,,,0,0,,,
Changeup,Right,-1.3999999999999999,0.90000000000000002,4,5,Ground Ball,1,1,-36.600000000000001,-36.600000000000001,-68.799999999999997,95.900000000000006,95,-17,1,1,0,0,1
Slider,Right,-0.29999999999999999,1.2,12,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3,1.5,2,,,0,0,,,,,,,0,1,,,
Curve,Left,0.10000000000000001,-0.5,14,2,,1,2,,,,,,,0,1,0,0,1
Slider,Left,-0.10000000000000001,1,14,,,1,1,,,,,,,0,1,,,
Slider,Left,0,0.90000000000000002,14,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.3999999999999999,4,,,0,0,,,,,,,0,1,,,
Curve,Right,0.59999999999999998,-0.59999999999999998,5,8,Fly Ball,0,1,11.699999999999999,11.699999999999999,78.200000000000003,375.19999999999999,98,29,1,1,0,0,1
Four-Seam Fastball,Right,-1.3,1.6000000000000001,1,,,0,0,,,,,,,0,0,,,
Changeup,Right,-1.6000000000000001,0.80000000000000004,9,1,Ground Ball,0,1,-26.600000000000001,-26.600000000000001,-13,29.899999999999999,,,1,1,0,0,
Four-Seam Fastball,Right,-1.2,1.8,5,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3,1.7,9,2,,0,2,,,,,,,0,0,0,0,1
Slider,Left,-0.20000000000000001,1,14,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3,1.6000000000000001,5,,,0,0,,,,,,,0,0,,,
Slider,Right,0.10000000000000001,0.80000000000000004,9,1,Ground Ball,1,1,40.299999999999997,40.299999999999997,38.899999999999999,46.399999999999999,111,-1,1,1,0,0,1
Curve,Right,0.59999999999999998,-0.59999999999999998,14,,,0,1,,,,,,,0,0,,,
Slider,Right,0.10000000000000001,0.90000000000000002,2,,,0,0,,,,,,,0,1,,,
Slider,Right,0.29999999999999999,0.69999999999999996,9,6,Ground Ball,1,1,-24.300000000000001,-24.300000000000001,-53.5,122.59999999999999,75,-16,1,1,0,0,1
Slider,Right,0,1,2,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.5,1.5,5,,,0,0,,,,,,,0,0,,,
Changeup,Left,-1.5,0.5,13,5,Ground Ball,1,2,-25,25,-52.299999999999997,116.2,90,-4,1,1,0,0,1
Curve,Left,0.5,-0.80000000000000004,5,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.1000000000000001,1.5,12,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.3999999999999999,4,,,0,0,,,,,,,0,1,,,
Four-Seam Fastball,Right,-1.2,1.5,11,2,,2,2,,,,,,,0,0,0,0,1
Slider,Right,-0.10000000000000001,1.1000000000000001,12,,,2,1,,,,,,,0,1,,,
Curve,Right,0.29999999999999999,-0.80000000000000004,14,,,1,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.7,12,,,0,1,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1,1.8,11,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.3,1.7,6,9,Fly Ball,0,0,37.899999999999999,37.899999999999999,196,252.09999999999999,93,44,1,1,0,0,1
Curve,Left,0.29999999999999999,-0.5,9,2,,2,2,,,,,,,0,0,0,0,1
Four-Seam Fastball,Left,-1.1000000000000001,1.6000000000000001,12,,,1,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.2,1.5,5,,,1,2,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.8,11,,,0,2,,,,,,,0,0,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.7,6,,,0,1,,,,,,,0,1,,,
Four-Seam Fastball,Left,-1.3999999999999999,1.6000000000000001,4,,,0,0,,,,,,,0,0,,,
Four-Seam Fastball,Right,-1.1000000000000001,1.3,5,7,Line Drive,0,0,-22.199999999999999,-22.199999999999999,-139.69999999999999,346,113,14,1,1,1,1.25,1
Slider,Right,-0.29999999999999999,1.2,6,8,Line Drive,3,2,-3.6000000000000001,-3.6000000000000001,-15.5,263.5,103,13,1,1,1,0.90000000000000002,1
